"day","quarter","doq","gdp_gr","prediction_bench_dfm","prediction_news_dfm","se_dfm_bench","se_dfm_news"
"2015-12-20",2015-10-01,81,0.184479126463638,0.191513036684743,0.232517326972821,4.94758929985603e-05,0.00230766870816045
"2015-12-21",2015-10-01,82,0.184479126463638,0.191101881731414,0.232694822433834,4.38608873368552e-05,0.00232475333789037
"2015-12-22",2015-10-01,83,0.184479126463638,0.188215193427856,0.230908452756073,1.3958196361119e-05,0.00215568233996935
"2015-12-23",2015-10-01,84,0.184479126463638,0.189646767259163,0.232849897160832,2.670451139157e-05,0.00233973145784052
"2015-12-24",2015-10-01,85,0.184479126463638,0.199979738070282,0.247378027272881,0.000240268960180034,0.00395627172301093
"2015-12-25",2015-10-01,86,0.184479126463638,0.200141775739909,0.246163612994108,0.000245318582351485,0.00380497587852768
"2015-12-26",2015-10-01,87,0.184479126463638,0.202452018657973,0.248704828069802,0.0003230248538292,0.00412494074680405
"2015-12-27",2015-10-01,88,0.184479126463638,0.199106924495952,0.249363227298554,0.000213972475274162,0.00420994654115561
"2015-12-28",2015-10-01,89,0.184479126463638,0.208467789631098,0.262054770648787,0.000575455960561874,0.00601798057074079
"2015-12-29",2015-10-01,90,0.184479126463638,0.439304690193365,0.431718013313397,0.0649360679301732,0.0611270671707079
"2016-01-01",2016-01-01,1,0.579519406045014,0.140176863095779,0.234778163598274,0.1930218700451,0.118846524243722
"2016-01-02",2016-01-01,2,0.579519406045014,0.112110825907495,0.21442351841786,0.218470780786172,0.133295007162259
"2016-01-03",2016-01-01,3,0.579519406045014,0.092114258008859,0.180241845133144,0.237563778332146,0.159422570647732
"2016-01-04",2016-01-01,4,0.579519406045014,0.0912604948805552,0.191735312456142,0.238396764331503,0.150376503240543
"2016-01-05",2016-01-01,5,0.579519406045014,0.0796374103661085,0.181979027350561,0.249882009603925,0.158038352692529
"2016-01-06",2016-01-01,6,0.579519406045014,0.0100974449852974,0.119779656738466,0.324241369737093,0.211360637092448
"2016-01-07",2016-01-01,7,0.579519406045014,-0.0099111444851405,0.101064646640117,0.347428373898281,0.228918956797198
"2016-01-08",2016-01-01,8,0.579519406045014,-0.030189216529828,0.0848015336808974,0.371744604442111,0.244745773236478
